name,code
Химия,04.03.01
Геология,05.03.01
Биология,06.03.01
Информационные системы и технологии,09.03.02
Электроэнергетика и электротехника,13.03.02
Ядерная энергетика и теплофизика,14.03.01
Автоматизация технологических процессов и производств,15.03.04
Техническая физика,16.03.01
Металлургия,22.03.02
Экономика,38.03.01
Государственное и муниципальное управление,38.03.04
Социология,39.03.01
Горное дело,21.05.04
Физические процессы горного или нефтегазового производства,21.05.05
Информационные системы и технологии,09.04.02
Техническая физика,16.04.01
